iter	Passed	Remaining
0	13	5288
1	20	4172
2	28	3719
3	36	3642
4	45	3624
5	53	3481
6	60	3402
7	68	3334
8	76	3336
9	85	3351
10	94	3347
11	102	3319
12	110	3294
13	117	3233
14	125	3232
15	133	3196
16	139	3152
17	148	3153
18	153	3084
19	161	3068
20	168	3041
21	174	2995
22	182	2989
23	190	2981
24	197	2965
25	203	2929
26	210	2907
27	217	2894
28	224	2877
29	230	2847
30	236	2817
31	242	2791
32	248	2767
33	257	2768
34	263	2750
35	270	2732
36	277	2722
37	284	2709
38	291	2699
39	298	2682
40	305	2671
41	311	2657
42	317	2638
43	324	2626
44	331	2615
45	340	2621
46	348	2616
47	355	2608
48	363	2600
49	370	2591
50	376	2577
51	383	2568
52	391	2563
53	398	2555
54	405	2542
55	412	2534
56	418	2520
57	424	2501
58	430	2488
59	435	2468
60	441	2452
61	446	2435
62	452	2419
63	458	2407
64	464	2394
65	470	2379
66	477	2374
67	483	2362
68	490	2352
69	496	2341
70	503	2331
71	509	2320
72	514	2306
73	520	2293
74	526	2280
75	532	2270
76	538	2259
77	544	2248
78	551	2239
79	557	2229
80	564	2221
81	570	2210
82	576	2202
83	583	2193
84	588	2182
85	594	2170
86	599	2157
87	605	2145
88	610	2134
89	616	2123
90	621	2110
91	626	2099
92	632	2089
93	638	2078
94	644	2068
95	650	2059
96	656	2050
97	662	2042
98	668	2031
99	674	2024
100	680	2015
101	688	2010
102	694	2002
103	700	1993
104	706	1985
105	712	1976
106	718	1966
107	724	1959
108	729	1948
109	735	1940
110	742	1932
111	748	1925
112	755	1918
113	761	1910
114	768	1903
115	773	1894
116	780	1888
117	787	1881
118	794	1875
119	801	1870
120	808	1864
121	815	1858
122	822	1851
123	829	1846
124	837	1842
125	844	1836
126	850	1827
127	857	1821
128	862	1812
129	868	1804
130	875	1798
131	882	1791
132	888	1784
133	894	1776
134	901	1768
135	906	1760
136	912	1752
137	919	1746
138	925	1738
139	932	1732
140	938	1724
141	944	1716
142	951	1710
143	957	1702
144	964	1696
145	971	1689
146	977	1683
147	984	1675
148	990	1667
149	995	1659
150	1001	1651
151	1006	1642
152	1013	1635
153	1019	1628
154	1025	1621
155	1032	1614
156	1039	1608
157	1045	1601
158	1052	1594
159	1057	1586
160	1063	1578
161	1069	1571
162	1075	1563
163	1082	1558
164	1089	1551
165	1096	1546
166	1103	1540
167	1111	1535
168	1118	1528
169	1125	1522
170	1129	1512
171	1136	1506
172	1143	1499
173	1148	1492
174	1155	1485
175	1162	1479
176	1168	1472
177	1174	1464
178	1180	1458
179	1187	1451
180	1193	1444
181	1200	1437
182	1206	1430
183	1212	1423
184	1218	1415
185	1223	1407
186	1229	1400
187	1235	1393
188	1242	1387
189	1250	1381
190	1256	1375
191	1263	1368
192	1269	1361
193	1275	1354
194	1281	1346
195	1287	1339
