iter	RMSE
0	60.43142391
1	58.7487012
2	57.12358628
3	55.55616699
4	54.01218168
5	52.54837535
6	51.11793496
7	49.7167039
8	48.39674679
9	47.09264014
10	45.81574852
11	44.57046374
12	43.36024074
13	42.17625349
14	41.02670079
15	39.90436643
16	38.82530844
17	37.76518773
18	36.74348699
19	35.75160649
20	34.78594485
21	33.87142741
22	32.99440848
23	32.09723148
24	31.26335954
25	30.4564676
26	29.68846227
27	28.89741963
28	28.14098001
29	27.41720243
30	26.70587897
31	26.01805008
32	25.34690557
33	24.68368155
34	24.0588831
35	23.45445615
36	22.85494237
37	22.28566454
38	21.73202651
39	21.19316824
40	20.65682109
41	20.13349454
42	19.61933355
43	19.11540243
44	18.63566436
45	18.17843298
46	17.72093831
47	17.27948796
48	16.84810851
49	16.41800604
50	16.00700846
51	15.6127562
52	15.23471561
53	14.85503443
54	14.48999507
55	14.13688003
56	13.78598222
57	13.45948867
58	13.15011226
59	12.83023923
60	12.53215734
61	12.25480677
62	11.97013167
63	11.69613814
64	11.42345311
65	11.15896182
66	10.91059783
67	10.662773
68	10.42254302
69	10.19190712
70	9.961213898
71	9.732648554
72	9.526126837
73	9.322563763
74	9.119295254
75	8.922928582
76	8.730447724
77	8.542943463
78	8.369055676
79	8.193164628
80	8.024568645
81	7.854027715
82	7.691576863
83	7.540345447
84	7.38385638
85	7.232801207
86	7.090537006
87	6.956494903
88	6.827276255
89	6.696622073
90	6.569421107
91	6.44849886
92	6.326677596
93	6.213680427
94	6.095819506
95	5.981077942
96	5.872020362
97	5.763337362
98	5.666682966
99	5.568361671
100	5.477475195
101	5.382248023
102	5.289715756
103	5.206003203
104	5.121330474
105	5.039536093
106	4.953436888
107	4.8771507
108	4.801129112
109	4.72877262
110	4.652747473
111	4.58442282
112	4.516606213
113	4.444752106
114	4.380718835
115	4.318308622
116	4.259716563
117	4.200922361
118	4.144878068
119	4.090064176
120	4.036885314
121	3.982973882
122	3.933128389
123	3.882178425
124	3.830794304
125	3.784478386
126	3.742921412
127	3.700525852
128	3.653033671
129	3.607959806
130	3.565144696
131	3.525533818
132	3.486489079
133	3.447656679
134	3.409352546
135	3.376702785
136	3.343841842
137	3.305360576
138	3.26743646
139	3.236120123
140	3.202356229
141	3.170699547
142	3.140136348
143	3.109926784
144	3.082544912
145	3.051013575
146	3.023944929
147	2.994372696
148	2.969547634
149	2.94615162
150	2.92165558
151	2.894468792
152	2.871068306
153	2.844290424
154	2.818979178
155	2.794083412
156	2.77133196
157	2.74545208
158	2.725529213
159	2.704086487
160	2.679498304
161	2.658241101
162	2.63963895
163	2.622999081
164	2.602806241
165	2.582600014
166	2.56429038
167	2.546648509
168	2.527536218
169	2.508051332
170	2.492403837
171	2.474865517
172	2.456601445
173	2.442231265
174	2.423644607
175	2.408542748
176	2.393648851
177	2.379520205
178	2.364990397
179	2.352221738
180	2.335499051
181	2.322955619
182	2.310502267
183	2.297387042
184	2.283559851
185	2.269815412
186	2.25725554
187	2.246890812
188	2.23285593
189	2.222703318
190	2.210675117
191	2.196891182
192	2.184374942
193	2.171080803
194	2.162218946
195	2.153171533
196	2.144536832
197	2.130701499
198	2.119196326
199	2.106525588
200	2.099300754
201	2.090075895
202	2.079962511
203	2.072430075
204	2.0616986
205	2.050231541
206	2.039435251
207	2.02822223
208	2.018832785
209	2.007706827
210	2.00033736
211	1.993719343
212	1.985472066
213	1.977312168
214	1.968087086
215	1.957757832
216	1.949255997
217	1.940617081
218	1.934314545
219	1.925352837
220	1.917808347
221	1.908412855
222	1.902281586
223	1.895158661
224	1.886682112
225	1.878133135
226	1.871557022
227	1.862467456
228	1.85525605
229	1.848463899
230	1.842392114
231	1.834948152
232	1.82434519
233	1.815739047
234	1.810193247
235	1.801533015
236	1.794350286
237	1.785378768
238	1.779020827
239	1.771970389
240	1.765944328
241	1.756602093
242	1.747779098
243	1.742152838
244	1.734915901
245	1.72895677
246	1.721410615
247	1.715027593
248	1.70602925
249	1.700449962
250	1.694283238
251	1.6873565
252	1.681888132
253	1.67558864
254	1.669657345
255	1.664905817
256	1.661017601
257	1.656713812
258	1.650598138
259	1.645282955
260	1.638588393
261	1.632745843
262	1.626218136
263	1.620582314
264	1.616003518
265	1.610361475
266	1.603513641
267	1.598673385
268	1.593095396
269	1.588890267
270	1.583567569
271	1.576424357
272	1.57036248
273	1.566325328
274	1.561438541
275	1.555715827
276	1.551137233
277	1.54572856
278	1.542134479
279	1.537667313
280	1.533617695
281	1.528294333
282	1.524658782
283	1.519788953
284	1.515111094
285	1.509921783
286	1.505399207
287	1.499554609
288	1.494969372
289	1.489705414
290	1.486228456
291	1.480031038
292	1.475588575
293	1.469595282
294	1.464582651
295	1.459056227
296	1.453074015
297	1.452659351
298	1.446327561
299	1.441657625
300	1.436944
301	1.432294557
302	1.428356571
303	1.423778645
304	1.419346374
305	1.413995683
306	1.409933635
307	1.405926439
308	1.402591611
309	1.398551744
310	1.393550486
311	1.389659859
312	1.385184888
313	1.382101578
314	1.378094125
315	1.373696353
316	1.369306453
317	1.36569541
318	1.361754899
319	1.358631758
320	1.355121571
321	1.351214562
322	1.346992765
323	1.343137711
324	1.338675971
325	1.335185538
326	1.331175843
327	1.327855657
328	1.324621318
329	1.320764368
330	1.317021805
331	1.31405962
332	1.310259336
333	1.307202083
334	1.303425597
335	1.300014279
336	1.296859812
337	1.293128406
338	1.290114513
339	1.286214069
340	1.282200382
341	1.278299345
342	1.275537698
343	1.272505188
344	1.2690993
345	1.266348908
346	1.263029291
347	1.259363889
348	1.255522356
349	1.252731243
350	1.24941155
351	1.247043607
352	1.243905903
353	1.239493766
354	1.236026039
355	1.232203724
356	1.229703982
357	1.226621091
358	1.222529158
359	1.219314866
360	1.216474075
361	1.213278626
362	1.210917382
363	1.207575047
364	1.204318901
365	1.202021912
366	1.198848105
367	1.196200635
368	1.193257336
369	1.190452251
370	1.186633128
371	1.183668241
372	1.180403498
373	1.177399848
374	1.175090049
375	1.172671089
376	1.169566468
377	1.16587796
378	1.163344386
379	1.160906653
380	1.158696109
381	1.155484123
382	1.153198159
383	1.151415673
384	1.148639842
385	1.146079668
386	1.144029604
387	1.141657444
388	1.139000089
389	1.13622774
390	1.134247571
391	1.132062463
392	1.129818439
393	1.127834436
394	1.125130907
395	1.122284309
396	1.118715652
397	1.116538324
398	1.113485285
399	1.110681493
400	1.107793792
401	1.104766561
402	1.101880026
403	1.100077036
404	1.098863543
405	1.096328787
406	1.094139906
407	1.092094784
408	1.08887269
409	1.087080734
410	1.084985819
411	1.082076849
412	1.080039237
413	1.078144954
414	1.076559112
415	1.074639085
416	1.072414252
417	1.070303905
418	1.066975317
419	1.064241916
420	1.061798672
421	1.059542191
422	1.057314271
423	1.055436138
424	1.05329613
425	1.051398865
426	1.049051699
427	1.047187846
428	1.044855968
429	1.042666269
430	1.040383112
431	1.038274243
432	1.035955599
433	1.033762466
434	1.0322589
435	1.029607913
436	1.028094043
437	1.026305914
438	1.024841213
439	1.023112563
440	1.02043466
441	1.018647588
442	1.016111434
443	1.013640166
444	1.01185863
445	1.009874923
446	1.007388953
