iter	Passed	Remaining
0	2	2956
1	5	2535
2	7	2505
3	10	2549
4	12	2510
5	14	2462
6	17	2461
7	19	2459
8	22	2507
9	25	2525
10	27	2504
11	30	2500
12	32	2490
13	35	2482
14	37	2478
15	40	2505
16	43	2512
17	46	2514
18	48	2519
19	51	2527
20	54	2522
21	57	2537
22	59	2531
23	62	2521
24	64	2510
25	66	2503
26	69	2495
27	71	2490
28	75	2514
29	77	2508
30	80	2502
31	82	2490
32	84	2475
33	86	2455
34	88	2441
35	91	2441
36	95	2484
37	97	2477
38	99	2461
39	102	2450
40	104	2444
41	107	2444
42	109	2435
43	111	2424
44	113	2408
45	115	2393
46	117	2379
47	119	2367
48	122	2368
49	123	2355
50	126	2347
51	128	2335
52	130	2325
53	131	2312
54	134	2304
55	136	2298
56	138	2294
57	141	2291
58	143	2283
59	145	2275
60	147	2264
61	149	2254
62	151	2246
63	154	2252
64	155	2242
65	157	2235
66	159	2226
67	161	2218
68	163	2210
69	165	2202
70	167	2195
71	170	2195
72	172	2188
73	174	2179
74	176	2172
75	177	2163
76	179	2156
77	181	2148
78	183	2144
79	186	2142
80	188	2137
81	190	2129
82	192	2121
83	193	2113
84	196	2110
85	198	2109
86	200	2107
87	203	2106
88	205	2099
89	206	2092
90	208	2085
91	210	2079
92	212	2075
93	215	2073
94	217	2072
95	219	2068
96	221	2063
97	223	2056
98	225	2051
99	227	2045
100	229	2041
101	231	2035
102	233	2031
103	235	2029
104	237	2025
105	239	2021
106	241	2017
107	243	2013
108	245	2010
109	248	2008
110	250	2008
111	253	2006
112	255	2001
113	257	2001
114	260	2003
115	262	1997
116	264	1992
117	266	1990
118	268	1989
119	270	1984
120	272	1981
121	274	1976
122	276	1973
123	278	1968
124	280	1966
125	283	1964
126	285	1961
127	287	1958
128	289	1955
129	291	1951
130	293	1945
131	295	1941
132	297	1941
133	300	1941
134	302	1937
135	304	1933
136	306	1928
137	308	1924
138	309	1919
139	311	1914
140	314	1913
141	316	1912
142	318	1908
143	320	1903
144	322	1898
145	324	1895
146	325	1891
147	328	1889
148	330	1889
149	333	1887
150	335	1884
151	337	1881
152	339	1877
153	340	1872
154	342	1869
155	345	1866
156	347	1868
157	349	1864
158	351	1860
159	353	1858
160	355	1854
161	357	1850
162	359	1846
163	361	1842
164	364	1842
165	366	1840
166	368	1836
167	369	1832
168	371	1828
169	373	1825
170	375	1822
171	378	1822
172	380	1820
173	382	1817
174	384	1814
175	386	1810
176	388	1807
177	390	1803
178	393	1803
179	396	1804
180	398	1801
181	400	1798
182	402	1795
183	404	1792
184	406	1789
185	408	1786
186	410	1784
187	413	1784
188	415	1780
189	416	1776
190	418	1773
191	420	1770
192	422	1767
193	424	1765
194	427	1764
195	429	1762
196	431	1759
197	433	1756
198	435	1753
199	437	1751
200	439	1748
201	442	1749
202	445	1748
203	447	1746
204	449	1744
205	451	1741
206	453	1737
207	455	1734
208	457	1731
209	460	1730
210	462	1728
211	464	1724
212	465	1721
213	467	1718
214	470	1716
215	471	1712
216	473	1710
217	476	1709
218	478	1706
219	480	1704
220	482	1702
221	485	1700
222	487	1697
223	489	1695
224	491	1693
225	493	1690
226	495	1687
227	497	1684
228	499	1681
229	501	1678
230	503	1675
231	505	1672
232	507	1672
233	510	1669
234	512	1667
235	514	1664
236	515	1661
237	519	1662
238	521	1660
239	524	1660
240	526	1658
241	528	1656
242	530	1653
243	532	1650
244	534	1646
245	536	1645
246	539	1643
247	541	1643
248	543	1640
249	545	1637
250	547	1634
251	549	1630
252	551	1627
253	553	1624
254	555	1622
255	557	1619
256	559	1617
257	561	1614
258	562	1610
259	564	1607
260	566	1605
261	568	1601
262	570	1599
263	573	1597
264	575	1595
265	577	1592
266	579	1589
267	580	1586
268	582	1583
269	584	1581
270	587	1579
271	589	1577
272	591	1574
273	592	1570
274	594	1568
275	596	1565
276	598	1562
277	600	1559
278	602	1557
279	604	1555
280	606	1552
281	608	1548
282	610	1545
283	611	1542
284	613	1539
285	615	1536
286	617	1535
287	620	1533
288	622	1530
289	624	1527
290	625	1524
291	627	1522
292	629	1519
293	631	1516
294	633	1515
295	636	1513
296	638	1511
297	640	1508
298	642	1505
299	643	1502
300	646	1500
301	647	1497
302	650	1495
303	652	1493
304	654	1491
305	656	1488
306	658	1486
307	660	1483
308	662	1482
309	665	1480
310	667	1477
311	669	1476
312	671	1473
313	673	1470
314	675	1468
315	677	1466
316	679	1464
317	681	1461
318	683	1459
319	685	1457
320	687	1454
321	689	1451
322	691	1448
323	692	1445
324	694	1442
325	696	1440
326	698	1437
327	700	1435
328	702	1433
329	704	1431
330	707	1429
331	708	1426
332	710	1423
333	712	1420
334	713	1417
335	715	1414
336	718	1413
337	720	1411
338	722	1409
339	724	1406
340	726	1403
341	728	1401
342	730	1398
343	732	1397
344	735	1395
345	737	1393
346	739	1391
347	741	1389
348	743	1386
349	745	1383
350	746	1381
351	749	1380
352	752	1378
353	754	1376
354	756	1374
355	758	1372
356	760	1369
357	762	1367
358	764	1365
359	768	1366
360	770	1363
361	772	1361
362	774	1359
363	776	1357
364	778	1355
365	781	1353
366	784	1352
367	786	1350
368	788	1348
369	790	1346
370	793	1344
371	795	1342
372	798	1341
373	800	1339
374	802	1337
375	804	1334
376	806	1332
377	808	1330
378	811	1329
379	813	1327
380	816	1326
381	818	1324
382	820	1321
383	822	1318
384	823	1316
385	825	1313
386	827	1310
387	830	1309
388	832	1307
389	834	1305
390	836	1302
391	837	1299
392	839	1297
393	841	1294
394	843	1291
395	845	1290
396	847	1287
397	849	1284
398	851	1282
399	852	1279
400	854	1276
401	856	1274
402	858	1271
403	860	1269
404	862	1267
405	864	1264
406	866	1262
407	867	1259
408	869	1256
409	871	1254
410	873	1251
411	875	1249
412	877	1247
413	879	1245
414	881	1242
415	883	1240
416	885	1238
417	888	1236
418	890	1234
419	892	1232
420	894	1230
421	896	1228
422	898	1225
423	900	1223
424	902	1221
425	904	1218
426	906	1216
427	908	1214
428	910	1212
429	912	1210
430	914	1207
431	916	1205
432	918	1203
433	920	1200
434	922	1197
435	924	1195
436	926	1193
437	928	1191
438	930	1188
439	932	1186
440	934	1183
441	935	1181
442	937	1178
443	939	1175
444	940	1173
445	943	1171
446	945	1169
447	947	1166
448	949	1164
449	950	1162
450	952	1160
451	954	1157
452	956	1155
453	959	1153
454	961	1151
455	963	1148
456	965	1146
457	967	1144
458	969	1142
459	971	1140
460	973	1138
461	975	1136
462	978	1134
463	979	1132
464	981	1129
465	984	1127
466	985	1125
467	987	1122
468	989	1120
469	992	1119
470	994	1116
471	996	1114
472	998	1111
473	999	1109
474	1001	1106
475	1003	1104
476	1004	1101
477	1007	1100
478	1009	1098
479	1011	1095
480	1013	1093
481	1015	1091
482	1017	1088
483	1018	1086
484	1020	1083
485	1022	1081
486	1025	1079
487	1027	1077
488	1029	1075
